Key,Proyecto,Species,Sum of NUM_IND,Sum of ABUND_REL,Sum of ABUND_ABS
424,EIA PPII - PLATERO sobre YNC,Neoconocephalus triops  Linnaeus,2,0.22,2
425,EIA PPII - PLATERO sobre YNC,Neoponera sp.1,1,9.15248E-05,1
426,EIA PPII - PLATERO sobre YNC,Neoponera villosa,11,0.001101042,11
427,EIA PPII - PLATERO sobre YNC,Neotropiella sp.,1242,0.390960357,1242
428,EIA PPII - PLATERO sobre YNC,Nesomyrmex echinatinodis,8,0.000774096,8
429,EIA PPII - PLATERO sobre YNC,No aplica,1,0.11,1
430,EIA PPII - PLATERO sobre YNC,Nonnula frontalis,1,0.027449904,1
431,EIA PPII - PLATERO sobre YNC,Notosciurus granatensis,24,1.94017785,24
432,EIA PPII - PLATERO sobre YNC,Nylanderia sp.1,1,0.000101999,1
433,EIA PPII - PLATERO sobre YNC,Nylanderia steinheili,744,0.069435174,744
434,EIA PPII - PLATERO sobre YNC,Octostruma cf. stenoscapa,3,0.000274574,3
435,EIA PPII - PLATERO sobre YNC,Octostruma iheringi,22,0.002013546,22
436,EIA PPII - PLATERO sobre YNC,Odontomachus bauri,28,0.002636015,28
437,EIA PPII - PLATERO sobre YNC,Odontomachus haematodus,206,0.019702534,206
438,EIA PPII - PLATERO sobre YNC,Onthophagus bidentatus,144,0.752640572,144
439,EIA PPII - PLATERO sobre YNC,Onthophagus marginicollis,63,0.267836802,63
440,EIA PPII - PLATERO sobre YNC,Opsiphanes cassina ,6,0.023904382,6
441,EIA PPII - PLATERO sobre YNC,Pachycondyla harpax,76,0.007217745,76
442,EIA PPII - PLATERO sobre YNC,Pachycondyla sp.1,1,0.000101999,1
443,EIA PPII - PLATERO sobre YNC,Paratrachymyrmex bugnioni,53,0.005112674,53
444,EIA PPII - PLATERO sobre YNC,Paratrachymyrmex cornetzi,47,0.004395935,47
445,EIA PPII - PLATERO sobre YNC,Paratrechina longicornis,63,0.005954601,63
446,EIA PPII - PLATERO sobre YNC,Pareuptychia ocirrhoe,2,0.007968127,2
